bundleId,name,slug,status,bestUrl,appStoreUrl,source,confidence,pageTitle,notes
"app.legcord.Legcord","Legcord","legcord","native","https://legcord.app/","","reverse-dns","medium","Legcord – Lightweight Discord Client","candidate legcord.app; rel=1.00"
"de.exactcode.ExactScan","ExactScan","exactscan","unreported","https://exactcode.de/","","reverse-dns","medium","ExactCODE - higher quality software","candidate exactcode.de; rel=0.00"
"com.uaudio.ua-connect","UA Connect","ua-connect","native","https://www.uaudio.com/","","reverse-dns","medium","","candidate uaudio.com; rel=0.00"
"com.bskyb.skygoplayer","Sky Go","sky-go","unreported","https://www.sky.com/watch/sky-go","","web-search","medium","","web: Sky UK"
"jp.co.canon.ij.scanutilitylite","Canon IJ Scan Utility Lite","canon-ij-scan-utility-lite","native","https://co.com/","","reverse-dns","medium","co.com","candidate co.com; rel=0.00"
"org.jdownloader.launcher","JDownloader2","jdownloader2","unreported","https://jdownloader.org/","","reverse-dns","medium","JDownloader.org - Official Homepage","candidate jdownloader.org; rel=0.00"
"dev.vendicated.vencordinstaller","VencordInstaller","vencordinstaller","unreported","https://vendicated.dev/","","reverse-dns","medium","V&#39;s Site","candidate vendicated.dev; rel=0.00"
"it.arubapec.ArubaSignLauncher","ArubaSign","arubasign","unreported","https://www.pec.it/","","reverse-dns","medium","PEC e Servizi Certificati Aruba: Firma, Fatturazione, DocFly, SPID | Pec.it","candidate arubapec.it; rel=0.00"
"com.allenheath.AvantisDirector","Avantis Director","avantis-director","unreported","https://allenheath.com/","","reverse-dns","medium","Redirecting...","candidate allenheath.com; rel=0.00"
"com.microsoft.wdav","Microsoft Defender","microsoft-defender","native","https://www.microsoft.com/en-us","","reverse-dns","medium","Microsoft – AI, Cloud, Productivity, Computing, Gaming &amp; Apps","candidate microsoft.com; rel=0.50"
"com.lowtechguys.rcmd","rcmd","rcmd","native","https://lowtechguys.com/rcmd","https://apps.apple.com/us/app/rcmd-classic/id1596283165?mt=12&uo=4","itunes-seller","high","","MAS: rcmd (classic) v2.7.1"
"com.quark.desktop","Quark","quark","native","https://www.quark.com/","","reverse-dns","medium","","candidate quark.com; rel=1.00; PARKED?"
"com.westbridge.stremio5-mac","Stremio","stremio","native","https://www.san-agrow.com/","","reverse-dns","medium","SAN Agrow – Passion for Innovation: SAN Agrow","candidate westbridge.com; rel=0.00"
"com.reolink.app","Reolink","reolink","unreported","https://reolink.com/","","reverse-dns","medium","Reolink Official: Security Cameras and Systems for Home & Business","candidate reolink.com; rel=1.00"
"jp.pioneer.pddm.bddrivefirmwareupdaterformac","PioneerDriveUtilityLiteForMac","pioneerdriveutilityliteformac","unreported","https://jpn.pioneer/ja/","","reverse-dns","medium","パイオニア株式会社","candidate pioneer.jp; rel=0.00"
"pe.edificia.qcma","qcma","qcma","unreported","https://www.edificia.pe/","","reverse-dns","medium","Edificia | Software de Edificios y Condominios","candidate edificia.com; rel=0.00"
"com.mikrotik.winbox","Winbox-mac","winbox-mac","native","https://mikrotik.com/","","reverse-dns","medium","MikroTik &middot; Routers and Wireless","candidate mikrotik.com; rel=0.00"
"ru.yandex.yamb","Yandex Messenger","yandex-messenger","native","https://sso.passport.yandex.ru/push?uuid=03fbe265-e5ca-4072-9fed-bac3ffafc342&retpath=https%3A%2F%2Fdzen.ru%2F%3Fyredirect%3Dtrue%26is_autologin_ya%3Dtrue","","reverse-dns","medium","","candidate yandex.ru; rel=0.50"
"com.fujitsu.pfu.ScanSnapHome","ScanSnapHomeMain","scansnaphomemain","native","https://www.pfu.ricoh.com/global/scanners/scansnap/sshome/","","web-search","high","","web: PFU/Ricoh ScanSnap Home (web search)"
"com.movavi.videoeditorplusappstore","Video Editor Movavi","video-editor-movavi","native","https://www.movavi.com","https://apps.apple.com/us/app/video-editor-movavi/id1388868440?mt=12&uo=4","itunes-seller","high","","MAS: Video Editor Movavi v26.16.2"
"AlexanderSeroshtan.Battery-Time-Lost","Battery Life Indicator","battery-life-indicator","native","https://apps.apple.com/us/app/battery-life-and-health/id976964316?mt=12&uo=4","https://apps.apple.com/us/app/battery-life-and-health/id976964316?mt=12&uo=4","itunes-appstore","high","","MAS: Battery Life and Health v2.1"
"ru.movavika.videoeditorplus26","Movavika Video Editor 26","movavika-video-editor-26","unreported","https://www.movavika.ru/mac.html","","reverse-dns","medium","Программы Мовавика (Movavi) для MacOS","candidate movavika.ru; rel=0.33"
"com.macpaw.site.theunarchiver","The Unarchiver","the-unarchiver","native","https://macpaw.com/","","reverse-dns","medium","MacPaw | Making Your Mac Life Simpler","candidate macpaw.com; rel=0.00"
"com.shayesapps.countdownApp","Countdown","countdown","native","https://countdowns-app.com","https://apps.apple.com/us/app/countdowns-event-countdown/id917514700?uo=4","itunes-seller","high","","MAS: Countdowns - Event Countdown v11.1.1"
"ru.yandex.desktop.yandex-browser","Yandex","yandex","unreported","https://sso.passport.yandex.ru/push?uuid=dc5682d4-e38f-4d91-bd2b-da7750439c7c&retpath=https%3A%2F%2Fdzen.ru%2F%3Fyredirect%3Dtrue%26is_autologin_ya%3Dtrue","","reverse-dns","medium","","candidate yandex.ru; rel=1.00"
"ru.yandex.desktop.music","Ru Yandex Desktop Music","ru-yandex-desktop-music","native","https://sso.passport.yandex.ru/push?uuid=f014d0be-9e18-41dc-a6e2-d9d700ba9e2a&retpath=https%3A%2F%2Fdzen.ru%2F%3Fyredirect%3Dtrue%26is_autologin_ya%3Dtrue","","reverse-dns","medium","","candidate yandex.ru; rel=0.33"
"com.movavi.videoeditorplus20","Movavi Video Editor Plus 2020","movavi-video-editor-plus-2020","unreported","https://www.movavi.com/mac.html","","reverse-dns","medium","Trusted Multimedia Software for your Mac | Movavi","candidate movavi.com; rel=0.20"
"com.mediaget.MediaGet","mediaget","mediaget","unreported","https://mediaget.com/","","reverse-dns","medium","Медиагет – Торрент-клиент с поиском и встроенным плеером","candidate mediaget.com; rel=1.00"
"com.nateparrott.Ball","Ball","ball","native","https://nateparrott.com/","","reverse-dns","medium","","candidate nateparrott.com; rel=0.00"
"com.pilotmoon.Dropshelf","Dropshelf","dropshelf","native","https://pilotmoon.com/","","reverse-dns","medium","Pilotmoon Software","candidate pilotmoon.com; rel=0.00"
"ltd.anybox.FolderPreview","Folder Preview","folder-preview","native","https://apps.apple.com/us/app/folder-preview/id6698876601?mt=12&uo=4","https://apps.apple.com/us/app/folder-preview/id6698876601?mt=12&uo=4","itunes-appstore","high","","MAS: Folder Preview v2.10"
"com.sindresorhus.Googly-Eyes","Googly Eyes","googly-eyes","native","https://sindresorhus.com/googly-eyes","https://apps.apple.com/us/app/googly-eyes/id6743048714?mt=12&uo=4","itunes-seller","high","","MAS: Googly Eyes v1.2.0"
"net.rafaelconde.Hand-Mirror","Hand Mirror","hand-mirror","native","https://handmirror.app","https://apps.apple.com/us/app/hand-mirror/id1502839586?mt=12&uo=4","itunes-seller","high","","MAS: Hand Mirror v4.0.4"
"com.anker.pcankerwork","AnkerWork","ankerwork","native","https://www.anker.com/","","reverse-dns","medium","Anker | Live Charged. - Anker US","candidate anker.com; rel=0.00"
"com.kangfenmao.CherryStudio","Cherry Studio","cherry-studio","native","https://kangfenmao.com/","","reverse-dns","medium","亢奋猫","candidate kangfenmao.com; rel=0.00"
"com.lukebuild.LuxShot","LuxShot","luxshot","native","https://github.com/lukebuild/LuxShot","","web-search","high","","web: official GitHub repo (web search)"
"com.alertus.AlertusDesktopClient","Alertus Desktop","alertus-desktop","native","https://www.alertus.com/","","reverse-dns","medium","Emergency Mass Notification Systems - Alertus Technologies","candidate alertus.com; rel=0.50"
"com.behringer.synthtool","SYNTHTRIBE","synthtribe","unreported","https://apps.apple.com/us/app/synthtribe/id1487038242?uo=4","https://apps.apple.com/us/app/synthtribe/id1487038242?uo=4","itunes-appstore","high","","MAS: SYNTHTRIBE v2.5.7"
"com.wdc.branded.driveutility","WD Drive Utilities","wd-drive-utilities","unreported","https://www.westerndigital.com/","","reverse-dns","medium","High-Capacity HDDs for PCs, NAS, Gaming, Data Centers, and AI Data Cycles | WD","candidate wdc.com; rel=0.00"
"org.localsend.localsendApp","LocalSend","localsend","native","https://localsend.org","https://apps.apple.com/us/app/localsend/id1661733229?uo=4","itunes-seller","high","","MAS: LocalSend v1.17.1"
"com.electron.asana","Asana","asana","native","https://asana.com/download","","web-search","high","","web: Asana official download"
"com.heroicgameslauncher.hgl","Heroic","heroic","native","https://heroicgameslauncher.com/","","reverse-dns","medium","Heroic Games Launcher — Free Epic, GOG &amp; Amazon Games Launcher","candidate heroicgameslauncher.com; rel=1.00"
"art.ginzburg.MiddleClick","MiddleClick","middleclick","native","https://github.com/artginzburg/MiddleClick","","web-search","high","","web: official GitHub repo"
"com.raycast.macos","Raycast","raycast","native","https://www.raycast.com/","","reverse-dns","medium","","candidate raycast.com; rel=1.00"
"com.bambosh.unofficialhomestuckcollection","The Unofficial Homestuck Collection","the-unofficial-homestuck-collection","unreported","https://bambosh.com/","","reverse-dns","medium","","candidate bambosh.com; rel=0.00"
"com.spotkin.ContraptionMaker","ContraptionMaker","contraptionmaker","unreported","https://spotkin.com/","","reverse-dns","medium","SPBUTOTO <> Daftar 5 Bandar Togel Deposit 5000 Dan 10 Situs Bo Togel Terpercaya Hadiah Tertinggi Di Asia","candidate spotkin.com; rel=0.00"
"ai.perplexity.comet","Comet","comet","native","https://www.perplexity.ai/comet","","web-search","high","","web: Perplexity Comet browser"
"com.electron.kando","Kando","kando","native","https://kando.menu","","web-search","medium","","web: open-source pie menu official site"
"com.silhouettesoftware.Silhouette-Studio","Silhouette Studio","silhouette-studio","unreported","https://www.silhouetteamerica.com/software/silhouette-studio","","web-search","high","","web: Silhouette America"
"whbalzac.Dongtaizhuomian","Dynamic Wallpaper","dynamic-wallpaper","native","https://apps.apple.com/us/app/dynamic-wallpaper-studio/id1453504509?mt=12&uo=4","https://apps.apple.com/us/app/dynamic-wallpaper-studio/id1453504509?mt=12&uo=4","itunes-appstore","high","","MAS: Dynamic Wallpaper Studio v25.4"
"com.charliemchapman.dark-noise","Dark Noise","dark-noise","native","https://darknoise.app","https://apps.apple.com/us/app/dark-noise-ambient-sounds/id1465439395?uo=4","itunes-seller","high","","MAS: Dark Noise: Ambient Sounds v3.5.2"
"com.blitz.app","Blitz","blitz","unreported","https://blitz.com/","","reverse-dns","medium","Blitz.com","candidate blitz.com; rel=1.00"
"io.jor.bugdom","Bugdom","bugdom","native","https://github.com/jorio","","reverse-dns","medium","","candidate jor.io; rel=0.00"
"com.panwriter.app","PanWriter","panwriter","native","https://panwriter.com/","","reverse-dns","medium","PanWriter","candidate panwriter.com; rel=1.00"
"com.privateinternetaccess.vpn","Private Internet Access","private-internet-access","native","https://www.privateinternetaccess.com/","","reverse-dns","medium","Private Internet Access: The Best VPN Service For 10+ Years","candidate privateinternetaccess.com; rel=1.00"
"com.infinitekind.MoneydanceOSX","Moneydance","moneydance","unreported","https://infinitekind.com","https://apps.apple.com/us/app/moneydance-2024/id538911179?mt=12&uo=4","itunes-seller","high","","MAS: Moneydance 2024 v2024.4"
"com.redgiant.MagicBullet-Suite-Installer","Magic Bullet Suite Installer","magic-bullet-suite-installer","native","https://www.maxon.net/en/red-giant","","reverse-dns","medium","","candidate redgiant.com; rel=0.00"
"org.spek-project","Spek","spek","unreported","https://www.spek.cc/","","reverse-dns","medium","Spek — Acoustic spectrum analyser | Alexander Kojevnikov | Substack","candidate spek-project.org; rel=1.00"
"org.amnezia.awg","AmneziaWG","amneziawg","native","https://amnezia.org/","https://apps.apple.com/us/app/amneziawg/id6478942365?uo=4","itunes-seller","high","","MAS: AmneziaWG v2.0.2"
"com.yourcompany.AmneziaVPN","AmneziaVPN","amneziavpn","unreported","https://amnezia.org","","web-search","high","","web: official site"
"com.digiarty.VideoProc","VideoProc Converter AI","videoproc-converter-ai","native","https://www.videoproc.com","","web-search","high","","web: Digiarty VideoProc"
"io.ganeshrvel.openmtp","OpenMTP","openmtp","native","https://www.ganeshrvel.com/","","reverse-dns","medium","Ganesh Rathinavel","candidate ganeshrvel.com; rel=0.00"
"com.softorino.can","CleanAppsNow","cleanappsnow","native","https://softorino.com/","","reverse-dns","medium","Softorino | Tiny Apps That Make Your Life Simple","candidate softorino.com; rel=0.00"
"com.alienator88.Pearcleaner","Pearcleaner","pearcleaner","native","https://github.com/alienator88/Pearcleaner","","web-search","high","","web: official GitHub repo"
"app.yaak.desktop","Yaak","yaak","native","https://yaak.app/","","reverse-dns","medium","Yaak – The API client for modern developers","candidate yaak.app; rel=1.00"
"com.jelleglebbeek.youtube-dl-gui","Open Video Downloader","open-video-downloader","native","https://jelleglebbeek.com/","","reverse-dns","medium","Jelle Glebbeek - Portfolio","candidate jelleglebbeek.com; rel=0.00"
"ch.laurinbrandner.nuage","Nuage","nuage","native","http://laurinbrandner.ch/","","reverse-dns","medium","","candidate laurinbrandner.ch; rel=0.00"
"co.audius.app","Audius","audius","native","https://audius.co/","","reverse-dns","medium","Audius — Free Music Streaming for Artists, Labels &amp; Fans","candidate audius.co; rel=1.00"
"io.freetubeapp.freetube","FreeTube","freetube","native","https://freetubeapp.io/","","reverse-dns","medium","FreeTube - The Private YouTube Client","candidate freetubeapp.io; rel=1.00"
"com.ikmultimedia.SampleTank3InstrumentsInstaller","SampleTank 3 Instruments Installer","sampletank-3-instruments-installer","unreported","https://www.ikmultimedia.com/","","reverse-dns","medium","IK MULTIMEDIA. SOUND BETTER.","candidate ikmultimedia.com; rel=0.00"
"com.applied-acoustics.String Studio VS-3","String Studio VS-3","string-studio-vs-3","native","https://www.applied-acoustics.com/","","reverse-dns","medium","AAS—Instruments, synthesizer, and effect plug-ins based on physical modeling VST AU AAX","candidate applied-acoustics.com; rel=0.00"
"com.nchsoftware.wavepadfree","WavePad Audio Editor","wavepad-audio-editor","native","http://www.nch.com.au/wavepad/index.html","https://apps.apple.com/us/app/wavepad-audio-editor/id970044455?mt=12&uo=4","itunes-seller","high","","MAS: WavePad Audio Editor v24.31"
"com.ikmultimedia.ARC4","ARC 4","arc-4","native","https://www.ikmultimedia.com/","","reverse-dns","medium","IK MULTIMEDIA. SOUND BETTER.","candidate ikmultimedia.com; rel=0.00"
"com.applied-acoustics.Multiphonics CV-3 Synth","Multiphonics CV-3 Synth","multiphonics-cv-3-synth","native","https://www.applied-acoustics.com/","","reverse-dns","medium","AAS—Instruments, synthesizer, and effect plug-ins based on physical modeling VST AU AAX","candidate applied-acoustics.com; rel=0.00"
"com.ikmultimedia.MODODRUM","MODO DRUM","modo-drum","native","https://www.ikmultimedia.com/","","reverse-dns","medium","IK MULTIMEDIA. SOUND BETTER.","candidate ikmultimedia.com; rel=0.00"
"com.ikmultimedia.MODOBASS2","MODO BASS 2","modo-bass-2","native","https://www.ikmultimedia.com/","","reverse-dns","medium","IK MULTIMEDIA. SOUND BETTER.","candidate ikmultimedia.com; rel=0.00"
"com.focusrite.FocusriteControl","Focusrite Control","focusrite-control","native","https://focusrite.com/","","reverse-dns","medium","Focusrite | Audio Interfaces and Pro Audio Equipment","candidate focusrite.com; rel=0.50"
"com.ikmultimedia.AmpliTube5","AmpliTube 5","amplitube-5","native","https://www.ikmultimedia.com/","","reverse-dns","medium","IK MULTIMEDIA. SOUND BETTER.","candidate ikmultimedia.com; rel=0.00"
"com.applied-acoustics.AAS Player","AAS Player","aas-player","native","https://www.applied-acoustics.com/","","reverse-dns","medium","AAS—Instruments, synthesizer, and effect plug-ins based on physical modeling VST AU AAX","candidate applied-acoustics.com; rel=0.50"
"com.geranium-soft.avchdtomov","AVCHD to Mov Lite","avchd-to-mov-lite","unreported","http://www.geranium-soft.com/products/free-avchd-to-mov/","https://apps.apple.com/us/app/avchd-to-mov-lite/id675103877?mt=12&uo=4","itunes-seller","high","","MAS: AVCHD to Mov Lite v2.2.5"
"com.ikmultimedia.app.syntronik","Syntronik","syntronik","unreported","https://www.ikmultimedia.com/","","reverse-dns","medium","IK MULTIMEDIA. SOUND BETTER.","candidate ikmultimedia.com; rel=0.00"
"com.focusrite.SaffireMixControl2","Saffire MixControl","saffire-mixcontrol","unreported","https://focusrite.com/","","reverse-dns","medium","Focusrite | Audio Interfaces and Pro Audio Equipment","candidate focusrite.com; rel=0.00"
"com.ikmultimedia.PH2","Philharmonik 2","philharmonik-2","unreported","https://www.ikmultimedia.com/","","reverse-dns","medium","IK MULTIMEDIA. SOUND BETTER.","candidate ikmultimedia.com; rel=0.00"
"com.ikmultimedia.Syntronik2","Syntronik 2","syntronik-2","native","https://www.ikmultimedia.com/","","reverse-dns","medium","IK MULTIMEDIA. SOUND BETTER.","candidate ikmultimedia.com; rel=0.00"
"com.ikmultimedia.SampleTron2","SampleTron 2","sampletron-2","native","https://www.ikmultimedia.com/","","reverse-dns","medium","IK MULTIMEDIA. SOUND BETTER.","candidate ikmultimedia.com; rel=0.00"
"com.ikmultimedia.sampletank4","SampleTank 4","sampletank-4","native","https://www.ikmultimedia.com/","","reverse-dns","medium","IK MULTIMEDIA. SOUND BETTER.","candidate ikmultimedia.com; rel=0.00"
"com.eltima.cmd1.pro.mas","Commander One PRO","commander-one-pro","native","https://ftp-mac.com/pro-file-manager.html?utm_source=appstore&utm_medium=referral&utm_campaign=c1pro","https://apps.apple.com/us/app/commander-one-pro-ftp-cloud/id1035237815?mt=12&uo=4","itunes-seller","high","","MAS: Commander One PRO: FTP & Cloud v3.17.2"
"com.starming.SwiftPamphletAppByMing","Starming SwiftPamphletAppByMing","starming-swiftpamphletappbyming","native","https://apps.apple.com/us/app/%E6%88%B4%E9%93%AD%E7%9A%84%E5%B0%8F%E5%86%8C%E5%AD%90/id1609702529?mt=12&uo=4","https://apps.apple.com/us/app/%E6%88%B4%E9%93%AD%E7%9A%84%E5%B0%8F%E5%86%8C%E5%AD%90/id1609702529?mt=12&uo=4","itunes-appstore","high","","MAS: 戴铭的小册子 v6.6.9"
"com.lego.ev3","MINDSTORMS Home","mindstorms-home","unreported","https://www.lego.com/en-us/themes/mindstorms","","web-search","medium","","web: LEGO (EV3 software discontinued)"
"qnap.com.qfinder","Qfinder Pro","qfinder-pro","unreported","https://www.qnap.com/en/utilities/essentials","","web-search","high","","web: QNAP utilities"
"com.macblurayplayer.BlurayPlayer","Macgo Blu-ray Player","macgo-blu-ray-player","unreported","https://www.macblurayplayer.com/macgo-mac-bluray-menu-player-pro.htm","https://apps.apple.com/us/app/macgo-blu-ray-player/id1321354161?mt=12&uo=4","itunes-seller","high","","MAS: Macgo Blu-ray Player v3.3.23"
"com.suunto.Suuntolink","Suuntolink","suuntolink","unreported","https://www.suunto.com/","","reverse-dns","medium","Suunto sports watches, dive products, compasses and accessories","candidate suunto.com; rel=0.00"
"dev.onlook.studio","Onlook","onlook","native","https://www.onlook.com/","","reverse-dns","medium","Onlook — Cursor for Designers","candidate onlook.dev; rel=1.00"
"de.hohnstaedt.xca","xca","xca","native","https://apps.apple.com/us/app/xca/id1563732616?mt=12&uo=4","https://apps.apple.com/us/app/xca/id1563732616?mt=12&uo=4","itunes-appstore","high","","MAS: XCA v2.9.0"
"com.scssoft.ats","American Truck Simulator","american-truck-simulator","unreported","https://www.scssoft.com/","","reverse-dns","medium","SCS Software – Simulation games development since 1997","candidate scssoft.com; rel=0.00"
"com.fing.app","Fing","fing","unreported","https://www.fing.com/","","reverse-dns","medium","","candidate fing.com; rel=1.00; PARKED?"
"com.nordsec.nordpass","NordPass","nordpass","unreported","https://nordsecurity.com/","","reverse-dns","medium","Digital security and privacy for everyone - Nord Security","candidate nordsec.com; rel=0.00"
"com.spritec.supertab","SuperTab","supertab","unreported","https://supertab.me","","web-search","medium","","web: SpriTec Software official domain (web search)"
"com.c-command.EagleFiler","EagleFiler","eaglefiler","unreported","https://c-command.com/eaglefiler","https://apps.apple.com/us/app/eaglefiler/id414232012?mt=12&uo=4","itunes-seller","high","","MAS: EagleFiler v1.9.20"
"com.radiosilenceapp.client","Radio Silence","radio-silence","native","https://radiosilenceapp.com/","","reverse-dns","medium","Radio Silence | Network monitor and firewall for Mac","candidate radiosilenceapp.com; rel=1.00"
"com.iis.fraunhofer.easyDCP-Player-","easyDCP Player+","easydcp-player","unreported","https://www.infinityinfusion.com/","","reverse-dns","medium","Infinity Infusion Solutions | Transforming Infusion Access","candidate iis.com; rel=0.00"
"com.yourcompany.LibreCAD","LibreCAD","librecad","unreported","https://librecad.org","","web-search","high","","web: LibreCAD official site"
"com.symantec.VIP-Access","VIP Access","vip-access","unreported","https://www.broadcom.com/products/cybersecurity","","reverse-dns","medium","Symantec™ Enterprise Cloud Cyber Security","candidate symantec.com; rel=0.00"
"com.jabra.directonline","Jabra Direct","jabra-direct","native","https://www.jabra.com/","","reverse-dns","medium","Jabra | Built for work. Designed for freedom.","candidate jabra.com; rel=0.50"
"com.cloudflare.1dot1dot1dot1.macos","Cloudflare WARP","cloudflare-warp","native","https://www.cloudflare.com/","","reverse-dns","medium","Cloudflare: Build for the agent era","candidate cloudflare.com; rel=0.50"
"com.trankynam.XtraFinder","XtraFinder","xtrafinder","native","https://trankynam.com/","","reverse-dns","medium","Tran Ky Nam Software","candidate trankynam.com; rel=0.00"
